District/Year,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975
Gurdaspur,101,101,101,101,158,158,100,100,100,142,142,207,207,207,235,235,235,235,235,235,235,235,235,235,235,230,230,230,230,230,230,230,230,230,246,267,221,221,222,237,235,124,124,123,87,80,71
Pathankot,38,38,38,38,49,49,38,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amritsar,149,149,149,149,170,170,149,149,149,128,128,148,148,148,-,255,255,255,255,255,255,255,255,255,255,271,271,271,271,271,271,271,271,271,245,132,207,206,206,146,146,204,204,204,99,96,88
Tarn Taran,72,72,72,72,103,103,70,70,70,81,81,104,104,104,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapurthala,67,67,67,67,68,68,67,67,67,62,62,78,78,78,99,99,99,99,99,99,99,99,99,99,99,85,85,85,85,85,85,85,85,85,82,80,77,77,77,123,123,52,52,52,41,40,38
Jalandhar,120,120,120,120,96,96,120,120,120,138,138,146,146,146,170,170,170,170,170,170,170,170,170,170,170,207,207,207,207,207,207,207,207,207,195,214,174,173,173,45,45,105,105,105,72,71,95
SBS Nagar,53,53,53,53,50,50,53,53,53,57,57,78,78,78,76,76,76,76,76,76,76,76,76,76,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoshiarpur,137,137,137,137,135,135,137,137,137,133,133,155,155,155,159,159,159,159,159,159,159,159,159,159,159,175,175,175,175,175,175,175,175,175,195,131,139,139,139,144,144,77,77,77,68,66,60
Rupnagar,66,66,66,66,78,78,66,66,66,60,60,71,71,71,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,125,125,125,125,125,112,90,93,93,93,103,103,85,85,85,79,79,64
SAS Nagar,60,60,60,60,56,56,60,60,60,58,58,58,58,58,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ludhiana,199,199,199,199,171,171,199,199,199,205,205,219,219,219,214,214,214,214,214,214,214,214,214,214,214,190,190,190,190,215,215,215,215,215,209,234,175,175,175,96,95,123,123,123,107,104,86
Ferozpur,52,52,52,52,78,78,55,55,55,133,133,160,160,160,178,178,178,178,178,178,178,178,178,178,178,165,165,165,165,165,165,165,165,165,163,149,144,144,144,137,137,43,43,43,66,44,27
Fazilka,61,61,61,61,78,78,58,58,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Faridkot,50,50,50,50,51,51,50,50,58,49,49,58,58,58,71,71,71,71,71,71,71,71,71,71,71,199,199,199,199,199,199,199,199,199,206,217,227,227,228,64,63,111,111,111,110,97,92
Sri Muktsar Sahib,72,72,72,72,87,87,71,71,93,69,69,86,86,86,68,68,68,68,68,68,68,68,68,68,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moga,93,93,93,93,100,100,93,93,50,100,100,110,110,110,57,57,57,57,57,57,57,57,57,57,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bathinda,117,117,117,117,154,154,117,117,117,128,128,164,164,164,147,147,147,147,147,147,147,147,147,147,147,122,122,122,122,185,185,185,185,185,192,204,169,169,169,67,67,110,110,110,149,133,123
Mansa,76,76,76,76,105,105,76,76,-,75,75,103,103,103,90,90,90,90,90,90,90,90,90,90,90,63,63,63,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sangrur,138,138,138,138,143,143,138,138,142,141,141,161,161,161,234,234,234,234,234,234,234,234,234,234,234,223,223,223,223,223,223,223,223,223,223,247,175,175,175,127,124,65,65,65,125,124,110
Barnala,63,63,63,63,66,66,63,63,63,61,61,64,64,64,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Patiala,142,142,142,142,105,105,142,142,148,148,148,152,152,152,185,185,185,185,185,185,185,185,185,185,185,204,204,204,204,244,244,244,244,244,232,235,165,165,165,119,118,174,174,174,159,155,132
Fatehgarh Sahib,55,55,55,55,49,49,55,55,56,56,56,62,62,62,65,65,65,65,65,65,65,65,65,65,65,80,80,80,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
At fams/other,29,29,29,29,39,39,29,29,29,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Punjab,2010,2010,2010,2010,2189,2189,2006,2006,1870,2024,2024,2384,2384,2384,2413,2413,2413,2413,2413,2413,2413,2413,2413,2413,2413,2324,2324,2324,2324,2324,2324,2324,2324,2324,2300,2200,1966,1964,1966,1405,1400,1273,1273,1272,1162,1089,986
